﻿list_centres_project_code,list_centres_project_name,list_centres_code,list_centres_name
LB142,Bekaa Valley,1,Aarsal
LB142,Bekaa Valley,2,Hajdal Anjar
LB142,Bekaa Valley,3,Hermel 
LB142,Bekaa Valley,4,Baalbak
LB130,Ain el Hilweh (Saïda),5,SGH
LB130,Ain el Hilweh (Saïda),6,PRCS
LB130,Ain el Hilweh (Saïda),7,HC
LB130,Ain el Hilweh (Saïda),8,UNRWA 1
LB130,Ain el Hilweh (Saïda),9,UNRWA 2
LB130,Ain el Hilweh (Saïda),10,Ouzai Gathering
LB130,Ain el Hilweh (Saïda),11,Saida old clinic
LB141,Tripoli,12,Bab Al-Tabaneh
LB141,Tripoli,13,Daz
LB141,Tripoli,14,Jabal Mohsen
CD159,Dingila,1,HGR DINGILA
CD151,Urgence fièvre jaune,1,HGR DINGILA
CD159,Dingila,1,HGR Buta IPD
CD151,Urgence fièvre jaune,1,HGR Buta IPD
CD159,Dingila,2,PS MOLENGE privé
CD151,Urgence fièvre jaune,2,PS MOLENGE privé
CD159,Dingila,2,HGR Buta OPD
CD151,Urgence fièvre jaune,2,HGR Buta OPD
CD159,Dingila,3,CS BAMBILI
CD151,Urgence fièvre jaune,3,CS BAMBILI
CD159,Dingila,3,CS Bale
CD151,Urgence fièvre jaune,3,CS Bale
CD159,Dingila,4,PS CBCN/MOPENPE
CD151,Urgence fièvre jaune,4,PS CBCN/MOPENPE
CD159,Dingila,4,CS Bamaria
CD151,Urgence fièvre jaune,4,CS Bamaria
CD159,Dingila,5,CS TOBOLA/AGRI UELE
CD151,Urgence fièvre jaune,5,CS TOBOLA/AGRI UELE
CD159,Dingila,5,CS Bomea
CD151,Urgence fièvre jaune,5,CS Bomea
CD159,Dingila,6,PS NZONGOLIA
CD151,Urgence fièvre jaune,6,PS NZONGOLIA
CD159,Dingila,6,CS Koteli
CD151,Urgence fièvre jaune,6,CS Koteli
CD159,Dingila,7,PS MONGOLOLO
CD151,Urgence fièvre jaune,7,PS MONGOLOLO
CD159,Dingila,7,CS Makala
CD151,Urgence fièvre jaune,7,CS Makala
CD159,Dingila,8,PS MOWINDI
CD151,Urgence fièvre jaune,8,PS MOWINDI
CD159,Dingila,8,CS Malikuta
CD151,Urgence fièvre jaune,8,CS Malikuta
CD159,Dingila,9,PS BAMBULE
CD151,Urgence fièvre jaune,9,PS BAMBULE
CD159,Dingila,9,CS Maselebende
CD151,Urgence fièvre jaune,9,CS Maselebende
CD159,Dingila,10,PS SOPI
CD151,Urgence fièvre jaune,10,PS SOPI
CD159,Dingila,10,CS Melume
CD151,Urgence fièvre jaune,10,CS Melume
CD159,Dingila,11,CS DEMBIA
CD151,Urgence fièvre jaune,11,CS DEMBIA
CD159,Dingila,11,CS Mobenge
CD151,Urgence fièvre jaune,11,CS Mobenge
CD159,Dingila,12,PS ANGUDIA
CD151,Urgence fièvre jaune,12,PS ANGUDIA
CD159,Dingila,12,CS Popoka
CD151,Urgence fièvre jaune,12,CS Popoka
CD159,Dingila,13,PS PLANTADEM
CD151,Urgence fièvre jaune,13,PS PLANTADEM
CD159,Dingila,13,CS Rive Gauche
CD151,Urgence fièvre jaune,13,CS Rive Gauche
CD159,Dingila,14,CS Rubi Lisanga
CD151,Urgence fièvre jaune,14,CS Rubi Lisanga
CD159,Dingila,35,PS MABOITA
CD151,Urgence fièvre jaune,35,PS MABOITA
CD159,Dingila,36,PS GASSA
CD151,Urgence fièvre jaune,36,PS GASSA
CD159,Dingila,37,CS MOLAMBI
CD151,Urgence fièvre jaune,37,CS MOLAMBI
CD159,Dingila,38,PS MOLEMA
CD151,Urgence fièvre jaune,38,PS MOLEMA
CD159,Dingila,39,PS SANALE
CD151,Urgence fièvre jaune,39,PS SANALE
CD159,Dingila,40,CS MAKONGO
CD151,Urgence fièvre jaune,40,CS MAKONGO
CD159,Dingila,41,PS BADILI
CD151,Urgence fièvre jaune,41,PS BADILI
CD159,Dingila,42,PS MBONGO
CD151,Urgence fièvre jaune,42,PS MBONGO
CD159,Dingila,43,CS BODAKPA
CD151,Urgence fièvre jaune,43,CS BODAKPA
CD159,Dingila,44,PS EKE
CD151,Urgence fièvre jaune,44,PS EKE
CD159,Dingila,45,PS ANGA
CD151,Urgence fièvre jaune,45,PS ANGA
CD159,Dingila,46,CS KOPI
CD151,Urgence fièvre jaune,46,CS KOPI
CD159,Dingila,47,PS MANGITE
CD151,Urgence fièvre jaune,47,PS MANGITE
CD159,Dingila,48,CS NGBANDEA
CD151,Urgence fièvre jaune,48,CS NGBANDEA
CD159,Dingila,49,PS ANDOLI
CD151,Urgence fièvre jaune,49,PS ANDOLI
CD159,Dingila,50,CSR ZOBIA
CD151,Urgence fièvre jaune,50,CSR ZOBIA
CD159,Dingila,51,PS NENDONDO
CD151,Urgence fièvre jaune,51,PS NENDONDO
CD159,Dingila,52,PS MAMBEMBE
CD151,Urgence fièvre jaune,52,PS MAMBEMBE
CD159,Dingila,53,PS BAMBESE
CD151,Urgence fièvre jaune,53,PS BAMBESE
CD159,Dingila,15,PS NGWALE
CD151,Urgence fièvre jaune,15,PS NGWALE
CD159,Dingila,15,CS Sukisa
CD151,Urgence fièvre jaune,15,CS Sukisa
CD159,Dingila,16,PS BONGIDE
CD151,Urgence fièvre jaune,16,PS BONGIDE
CD159,Dingila,16,CS Triangle
CD151,Urgence fièvre jaune,16,CS Triangle
CD159,Dingila,17,CSR BAMBESA
CD151,Urgence fièvre jaune,17,CSR BAMBESA
CD159,Dingila,17,CS Yema
CD151,Urgence fièvre jaune,17,CS Yema
CD159,Dingila,18,PS LIFUKU
CD151,Urgence fièvre jaune,18,PS LIFUKU
CD159,Dingila,18,CS Yeme
CD151,Urgence fièvre jaune,18,CS Yeme
CD159,Dingila,19,PS KUDE
CD151,Urgence fièvre jaune,19,PS KUDE
CD159,Dingila,19,PS Bosoyi
CD151,Urgence fièvre jaune,19,PS Bosoyi
CD159,Dingila,20,PS INERA
CD151,Urgence fièvre jaune,20,PS INERA
CD159,Dingila,20,PS Bowayi
CD151,Urgence fièvre jaune,20,PS Bowayi
CD159,Dingila,21,PS BASILIGA
CD151,Urgence fièvre jaune,21,PS BASILIGA
CD159,Dingila,21,PS Longa
CD151,Urgence fièvre jaune,21,PS Longa
CD159,Dingila,22,PS ANZANDE
CD151,Urgence fièvre jaune,22,PS ANZANDE
CD159,Dingila,22,PS Pamea
CD151,Urgence fièvre jaune,22,PS Pamea
CD159,Dingila,23,CS MONGBAYA
CD151,Urgence fièvre jaune,23,CS MONGBAYA
CD159,Dingila,24,PS ANZA
